# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.484265899658203125e+01 2.081186883151531219e-02 6.488893127441406250e+01 2.081186883151531219e-02 1.036924004554748535e+00
1.000000000000000000e+03 3.920752555131912231e-03 3.961549955420196056e-04 2.536555752158164978e-03 3.961549955420196056e-04 4.251229111105203629e-03
2.000000000000000000e+03 1.178518519736826420e-03 1.929257268784567714e-04 7.375049754045903683e-04 1.929257268784567714e-04 3.225051332265138626e-03
3.000000000000000000e+03 5.517065292224287987e-04 1.516689080744981766e-04 4.432072164490818977e-04 1.516689080744981766e-04 3.109538927674293518e-03
4.000000000000000000e+03 2.893995842896401882e-04 7.480158819817006588e-05 1.917735644383355975e-04 7.480158819817006588e-05 2.391551155596971512e-03
5.000000000000000000e+03 1.836035808082669973e-04 5.312327630235813558e-05 1.171797266579233110e-04 5.312327630235813558e-05 2.057571429759263992e-03
6.000000000000000000e+03 1.181129191536456347e-04 3.890738662448711693e-05 7.366546196863055229e-05 3.890738662448711693e-05 1.726551447063684464e-03
7.000000000000000000e+03 7.753641693852841854e-05 2.962211510748602450e-05 4.477255424717441201e-05 2.962211510748602450e-05 1.456664875149726868e-03
8.000000000000000000e+03 1.687578769633546472e-04 9.816728561418130994e-05 1.612662745174020529e-04 9.816728561418130994e-05 2.556156832724809647e-03
9.000000000000000000e+03 7.232901407405734062e-05 3.966130316257476807e-05 2.989596396218985319e-05 3.966130316257476807e-05 1.595460693351924419e-03
1.000000000000000000e+04 2.942608552984893322e-04 2.035373763646930456e-04 2.749244740698486567e-04 2.035373763646930456e-04 3.757779020816087723e-03
