# x, y
1.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.875000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.125000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
9.375000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e-02 2.000000000000000000e+00 0.000000000000000000e+00
5.625000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.375000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
9.375000000000000000e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.062500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
8.437500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.562500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
4.687500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.312500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
2.812500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.187500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000000e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.500000000000000000e+00 3.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.250000000000000000e+00 3.750000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01 3.750000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.750000000000000000e-01 3.937500000000000000e+00
0.000000000000000000e+00 1.125000000000000000e+00 3.937500000000000000e+00
1.000000000000000000e+00 1.250000000000000000e-01 9.375000000000000000e-01
0.000000000000000000e+00 1.875000000000000000e+00 9.375000000000000000e-01
1.000000000000000000e+00 1.625000000000000000e+00 2.437500000000000000e+00
0.000000000000000000e+00 3.750000000000000000e-01 2.437500000000000000e+00
1.875000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.125000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.875000000000000000e-01 3.609375000000000000e+00
0.000000000000000000e+00 1.312500000000000000e+00 3.609375000000000000e+00
9.375000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e-02 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.437500000000000000e+00 3.234375000000000000e+00
0.000000000000000000e+00 5.625000000000000000e-01 3.234375000000000000e+00
5.625000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.375000000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.062500000000000000e+00 3.984375000000000000e+00
0.000000000000000000e+00 9.375000000000000000e-01 3.984375000000000000e+00
1.000000000000000000e+00 3.125000000000000000e-01 2.109375000000000000e+00
0.000000000000000000e+00 1.687500000000000000e+00 2.109375000000000000e+00
1.000000000000000000e+00 1.812500000000000000e+00 1.359375000000000000e+00
0.000000000000000000e+00 1.875000000000000000e-01 1.359375000000000000e+00
9.375000000000000000e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.062500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.937500000000000000e-01 3.339843750000000000e+00
0.000000000000000000e+00 1.406250000000000000e+00 3.339843750000000000e+00
8.437500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.562500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.343750000000000000e+00 3.527343750000000000e+00
0.000000000000000000e+00 6.562500000000000000e-01 3.527343750000000000e+00
4.687500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.312500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.687500000000000000e-01 3.996093750000000000e+00
0.000000000000000000e+00 1.031250000000000000e+00 3.996093750000000000e+00
1.000000000000000000e+00 2.187500000000000000e-01 1.558593750000000000e+00
0.000000000000000000e+00 1.781250000000000000e+00 1.558593750000000000e+00
1.000000000000000000e+00 1.718750000000000000e+00 1.933593750000000000e+00
0.000000000000000000e+00 2.812500000000000000e-01 1.933593750000000000e+00
2.812500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.187500000000000000e-01 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.812500000000000000e-01 3.808593750000000000e+00
5.000000000000000000e-01 3.992015961557626724e-03 3.187238425016403198e-02
2.500000000000000000e-01 7.984031923115253448e-03 6.361727416515350342e-02
7.500000000000000000e-01 1.197604835033416748e-02 9.523468464612960815e-02
1.250000000000000000e-01 1.596806384623050690e-02 1.267245858907699585e-01
6.250000000000000000e-01 1.996007934212684631e-02 1.580870151519775391e-01
3.750000000000000000e-01 2.395209670066833496e-02 1.893219649791717529e-01
8.750000000000000000e-01 2.794411219656467438e-02 2.204294055700302124e-01
6.250000000000000000e-02 3.193612769246101379e-02 2.514093518257141113e-01
5.625000000000000000e-01 3.592814505100250244e-02 2.822618484497070312e-01
3.125000000000000000e-01 3.992015868425369263e-02 3.129867911338806152e-01
8.125000000000000000e-01 4.391217604279518127e-02 3.435842990875244141e-01
1.875000000000000000e-01 4.790419340133666992e-02 3.740542829036712646e-01
6.875000000000000000e-01 5.189620703458786011e-02 4.043968021869659424e-01
