# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.095599365234375000e+01 6.400634050369262695e-01 6.084010696411132812e+01 6.400634050369262695e-01 7.799634337425231934e-01
1.000000000000000000e+03 4.199157003313302994e-03 2.700483193621039391e-03 2.871979027986526489e-03 2.700483193621039391e-03 1.072621066123247147e-02
2.000000000000000000e+03 1.128930016420781612e-03 6.976819131523370743e-04 7.920553907752037048e-04 6.976819131523370743e-04 5.380517337471246719e-03
3.000000000000000000e+03 3.736474609468132257e-04 2.363284729653969407e-04 2.672036061994731426e-04 2.363284729653969407e-04 3.189631039276719093e-03
4.000000000000000000e+03 1.543906109873205423e-04 9.810832852963358164e-05 1.131580356741324067e-04 9.810832852963358164e-05 2.124704886227846146e-03
5.000000000000000000e+03 8.125276508508250117e-05 4.200707189738750458e-05 6.092760668252594769e-05 4.200707189738750458e-05 1.385373878292739391e-03
6.000000000000000000e+03 5.198518192628398538e-05 1.810635694710072130e-05 4.011715645901858807e-05 1.810635694710072130e-05 9.085595957003533840e-04
7.000000000000000000e+03 3.800083140959031880e-05 9.314579074271023273e-06 2.998420677613466978e-05 9.314579074271023273e-06 6.492923712357878685e-04
8.000000000000000000e+03 2.894851786550134420e-04 2.556819526944309473e-04 2.521956630516797304e-04 2.556819526944309473e-04 4.604170098900794983e-03
9.000000000000000000e+03 2.211593528045341372e-05 2.497442437743302435e-06 1.763995533110573888e-05 2.497442437743302435e-06 3.576660528779029846e-04
1.000000000000000000e+04 1.899963172036223114e-05 2.882849230445572175e-06 1.493980107625247911e-05 2.882849230445572175e-06 4.238949622958898544e-04
