# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.422450256347656250e+01 8.775659836828708649e-03 6.422781372070312500e+01 8.775659836828708649e-03 1.020061612129211426e+00
1.000000000000000000e+03 2.611513249576091766e-03 9.836624376475811005e-04 1.757974270731210709e-03 9.836624376475811005e-04 6.621881388127803802e-03
2.000000000000000000e+03 7.299683638848364353e-04 4.300978325773030519e-04 5.222632316872477531e-04 4.300978325773030519e-04 4.298970103263854980e-03
3.000000000000000000e+03 3.323525015730410814e-04 1.979358348762616515e-04 2.397728530922904611e-04 1.979358348762616515e-04 2.907432150095701218e-03
4.000000000000000000e+03 1.699750719126313925e-04 1.141096872743219137e-04 1.205254156957380474e-04 1.141096872743219137e-04 2.238948596641421318e-03
5.000000000000000000e+03 9.204580419464036822e-05 7.468929834431037307e-05 6.351569027174264193e-05 7.468929834431037307e-05 1.864072866737842560e-03
6.000000000000000000e+03 5.090726335765793920e-05 5.154473547008819878e-05 3.339314207551069558e-05 5.154473547008819878e-05 1.587217790074646473e-03
7.000000000000000000e+03 2.888967719627544284e-05 3.691395977512001991e-05 1.749758303049020469e-05 3.691395977512001991e-05 1.396214938722550869e-03
8.000000000000000000e+03 4.852742131333798170e-04 5.274005161481909454e-05 4.880604974459856749e-04 5.274005161481909454e-05 2.620558254420757294e-03
9.000000000000000000e+03 1.239498942595673725e-05 1.928498022607527673e-05 6.691946055070729926e-06 1.928498022607527673e-05 1.090036937966942787e-03
1.000000000000000000e+04 8.558764966437593102e-05 2.716302697081118822e-05 7.605891732964664698e-05 2.716302697081118822e-05 2.098842523992061615e-03
